datetime,sid,open,high,low,close,volume,amount
1728351060,603676,992,994,992,992,903400,8967076864
1728351120,603676,993,994,993,994,254400,2528192000
1728351180,603676,993,993,988,991,85200,844540992
1728351240,603676,987,990,984,986,100300,988940992
1728351300,603676,987,987,980,981,88200,865459008
1728351360,603676,979,979,977,979,184700,1806087936
1728351420,603676,979,979,970,970,144700,1408027008
1728351480,603676,967,971,967,967,179900,1743639040
1728351540,603676,967,969,965,967,107300,1038574016
1728351600,603676,967,967,962,963,64900,626131008
1728351660,603676,963,964,960,962,72300,695516032
1728351720,603676,962,964,962,962,33800,325263008
1728351780,603676,961,962,956,956,232600,2231933952
1728351840,603676,956,956,951,951,59500,567846976
1728351900,603676,950,951,946,946,75600,717619008
1728351960,603676,946,954,946,953,269900,2567746048
1728352020,603676,952,955,951,955,66500,633947008
1728352080,603676,955,961,954,961,47800,458067008
1728352140,603676,962,967,961,967,50100,483473984
1728352200,603676,967,974,967,970,121100,1174056960
1728352260,603676,972,975,972,975,39700,386427008
1728352320,603676,975,975,973,974,69100,673300992
1728352380,603676,973,976,972,974,63400,617668992
1728352440,603676,972,972,970,971,39900,387575008
1728352500,603676,971,971,969,969,29600,287163008
1728352560,603676,969,969,964,964,70300,680356992
1728352620,603676,963,965,963,963,37900,365233984
1728352680,603676,963,964,960,960,38600,371068992
1728352740,603676,961,962,960,962,29900,287449984
1728352800,603676,961,962,961,961,22900,220163008
1728352860,603676,962,964,961,964,90400,869316992
1728352920,603676,963,964,963,964,28800,277542016
1728352980,603676,966,966,963,963,15600,150487008
1728353040,603676,963,965,963,964,14100,135903008
1728353100,603676,964,965,960,960,49100,472464000
1728353160,603676,960,960,959,959,28500,273504000
1728353220,603676,959,959,958,958,14800,141820992
1728353280,603676,958,958,955,955,35700,341792000
1728353340,603676,955,955,952,953,37600,358452992
1728353400,603676,953,953,951,951,44000,418800992
1728353460,603676,951,953,951,952,29900,284591008
1728353520,603676,951,951,950,950,50100,476128992
1728353580,603676,950,950,948,948,31700,301008992
1728353640,603676,948,948,947,947,33200,314630016
1728353700,603676,947,947,942,942,43400,410393984
1728353760,603676,941,947,941,947,70800,668600000
1728353820,603676,947,950,947,950,53200,504560992
1728353880,603676,950,952,950,952,30000,285411008
1728353940,603676,953,953,950,950,30600,291252992
1728354000,603676,950,952,950,952,25200,239635008
1728354060,603676,952,955,952,954,14900,142116992
1728354120,603676,955,955,951,951,40800,388807008
1728354180,603676,951,953,950,953,19900,189306000
1728354240,603676,953,953,952,953,7600,72424000
1728354300,603676,953,953,949,949,23700,225304992
1728354360,603676,949,950,947,947,26600,252122000
1728354420,603676,946,950,946,948,29800,282283008
1728354480,603676,948,951,948,951,33700,319753984
1728354540,603676,950,950,948,949,22700,215360000
1728354600,603676,949,950,948,948,19800,187850000
1728354660,603676,949,949,945,945,52700,498774016
1728354720,603676,945,946,944,944,40200,379896000
1728354780,603676,944,944,941,941,28600,269526016
1728354840,603676,941,941,938,938,35700,335456000
1728354900,603676,937,938,934,934,45000,421259008
1728354960,603676,934,934,927,928,48200,448806016
1728355020,603676,929,929,921,922,35500,328492000
1728355080,603676,920,921,916,916,46700,428892992
1728355140,603676,916,917,913,913,33900,310040992
1728355200,603676,913,913,909,909,57800,525768000
1728355260,603676,909,912,908,912,79000,718334016
1728355320,603676,914,927,912,927,67600,621539008
1728355380,603676,928,933,928,933,36100,336252000
1728355440,603676,932,936,932,935,25500,238340000
1728355500,603676,936,942,936,938,22100,207703008
1728355560,603676,940,943,940,942,66700,628201984
1728355620,603676,942,942,938,938,10800,101566000
1728355680,603676,938,940,936,936,35700,334848000
1728355740,603676,936,938,935,937,47600,446291008
1728355800,603676,936,937,936,936,5100,47737000
1728355860,603676,935,935,933,933,28700,268320992
1728355920,603676,934,936,933,934,10300,96236000
1728355980,603676,933,934,932,932,13700,127818000
1728356040,603676,932,932,930,930,16300,151715008
1728356100,603676,930,934,929,934,21200,197430000
1728356160,603676,934,937,934,937,28400,265298000
1728356220,603676,937,937,936,937,22700,212696992
1728356280,603676,937,937,935,937,43700,409156992
1728356340,603676,936,936,935,935,29800,278656992
1728356400,603676,935,936,933,933,19700,184222000
1728356460,603676,933,933,930,930,9900,92289000
1728356520,603676,931,932,930,932,33800,314870016
1728356580,603676,934,936,934,936,21700,203015008
1728356640,603676,936,938,936,938,20800,194870000
1728356700,603676,938,938,936,936,15400,144284000
1728356760,603676,936,937,936,937,7800,73069000
1728356820,603676,937,942,937,942,13800,129604000
1728356880,603676,941,942,940,941,24200,227743008
1728356940,603676,941,945,940,945,50300,473710016
1728357000,603676,945,948,944,948,14800,140139008
1728357060,603676,948,948,945,945,9400,88962000
1728357120,603676,946,948,946,948,4900,46395000
1728357180,603676,946,950,946,950,52600,499033984
1728357240,603676,950,953,949,953,8100,76975000
1728357300,603676,954,954,953,954,5100,48649000
1728357360,603676,954,957,954,957,28300,270508992
1728357420,603676,957,963,957,963,33200,318508992
1728357480,603676,962,962,959,960,22500,216290000
1728357540,603676,960,961,959,960,14100,135364000
1728357600,603676,960,961,959,960,7200,69092000
1728357660,603676,959,960,959,959,34500,330856000
1728357720,603676,959,959,957,957,17100,163791008
1728357780,603676,957,958,955,957,17200,164628000
1728357840,603676,957,957,956,956,8800,84136000
1728357900,603676,955,955,953,953,23200,221320000
1728357960,603676,953,955,953,955,6200,59147000
1728358020,603676,952,953,950,951,20400,193983008
1728358080,603676,952,952,950,950,6900,65641000
1728358140,603676,950,951,949,951,16500,156656992
1728358200,603676,951,952,951,952,13600,129465000
1728363660,603676,952,958,952,956,50900,486091008
1728363720,603676,958,962,957,962,45100,433049984
1728363780,603676,965,965,962,962,40900,393815008
1728363840,603676,964,964,963,964,24700,238076000
1728363900,603676,964,964,961,962,36500,351184992
1728363960,603676,961,961,957,957,48000,460868000
1728364020,603676,957,958,956,956,12800,122461000
1728364080,603676,955,957,955,957,20100,192143008
1728364140,603676,957,960,957,958,9900,94810000
1728364200,603676,957,957,953,953,30500,291099008
1728364260,603676,953,955,953,953,17100,163191008
1728364320,603676,953,954,952,952,7900,75228000
1728364380,603676,952,952,949,949,29000,275620000
1728364440,603676,948,949,948,949,14300,135587008
1728364500,603676,949,950,948,948,22900,217314000
1728364560,603676,948,951,948,951,20500,194586000
1728364620,603676,951,952,951,952,20200,192168992
1728364680,603676,954,954,950,950,25200,240060000
1728364740,603676,950,950,948,949,21800,206852000
1728364800,603676,949,949,949,949,5600,53144000
1728364860,603676,949,949,945,945,12200,115526000
1728364920,603676,945,946,944,945,3700,34963000
1728364980,603676,944,945,943,944,11900,112339000
1728365040,603676,944,944,944,944,16200,152928000
1728365100,603676,944,945,943,944,6700,63260000
1728365160,603676,943,943,943,943,10000,94300000
1728365220,603676,942,945,942,945,5500,51918000
1728365280,603676,945,945,944,944,9900,93467000
1728365340,603676,944,946,944,946,17000,160572000
1728365400,603676,946,948,945,948,4500,42586000
1728365460,603676,947,950,947,948,28100,266648000
1728365520,603676,948,948,946,946,18700,177168000
1728365580,603676,946,947,946,947,7600,71908000
1728365640,603676,946,946,946,946,3500,33110000
1728365700,603676,945,946,945,945,11900,112465000
1728365760,603676,945,945,945,945,1200,11340000
1728365820,603676,944,944,942,942,22400,211110000
1728365880,603676,941,941,939,940,17400,163567008
1728365940,603676,940,941,940,940,40200,377899008
1728366000,603676,941,941,940,941,14000,131644000
1728366060,603676,941,943,941,943,25900,243920000
1728366120,603676,943,943,940,942,16600,156219008
1728366180,603676,941,943,941,943,8200,77300000
1728366240,603676,943,943,942,943,10200,96156000
1728366300,603676,943,943,942,943,3900,36776000
